ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,pe,pb,ps,total_share,float_share,free_share,total_mv,circ_mv
601988.SH,20070104,5.69,5.97,5.37,5.63,5.43,0.2,3.68,7281333.33,4224852.614,16.8115,1.67,34.1143,3.7772,9.828,25383916.2009,433117.0531,345454.7,142911448.2111,2438449.009
601988.SH,20070105,5.3,5.34,5.07,5.07,5.63,-0.56,-9.95,7867306.84,4050377.943,15.1068,1.6,30.721,3.4015,8.8504,25383916.2009,520779.4,345454.7,128696455.1386,2640351.558
601988.SH,20070108,4.87,5.14,4.83,5.08,5.07,0.01,0.2,5565756.49,2763751.983,10.6874,0.97,30.7816,3.4082,8.8679,25383916.2009,520779.4,345454.7,128950294.3006,2645559.352
601988.SH,20070109,5.06,5.19,4.95,5.18,5.08,0.1,1.97,4334458.33,2198327.249,8.323,0.68,31.3875,3.4753,9.0424,25383916.2009,520779.4,345454.7,131488685.9207,2697637.292
601988.SH,20070110,5.25,5.29,5.05,5.1,5.18,-0.08,-1.54,3721171.25,1915221.182,7.1454,0.59,30.9028,3.4217,8.9028,25383916.2009,520779.4,345454.7,129457972.6246,2655974.94
601988.SH,20070111,5.07,5.07,4.9,4.93,5.1,-0.17,-3.33,3274026.49,1625223.442,6.2868,0.57,29.8727,3.3076,8.606,25383916.2009,520779.4,345454.7,125142706.8704,2567442.442
601988.SH,20070112,4.88,4.97,4.7,4.73,4.93,-0.2,-4.06,2329178.87,1126547.904,4.4725,0.47,28.6608,3.1734,8.2569,25383916.2009,520779.4,345454.7,120065923.6303,2463286.562
601988.SH,20070115,4.71,5.0,4.65,4.99,4.73,0.26,5.5,2487325.37,1200380.073,4.7762,0.65,30.2363,3.3479,8.7108,25383916.2009,520779.4,345454.7,126665741.8425,2598689.206
601988.SH,20070116,5.05,5.1,4.85,4.94,4.99,-0.05,-1.0,2595924.95,1286327.202,4.9847,0.8,29.9333,3.3143,8.6235,25383916.2009,520779.4,345454.7,125396546.0324,2572650.236
601988.SH,20070117,4.94,5.04,4.82,4.88,4.94,-0.06,-1.21,2372504.49,1166197.579,4.5557,0.82,29.5697,3.2741,8.5187,25383916.2009,520779.4,345454.7,123873511.0604,2541403.472
601988.SH,20070118,4.83,4.89,4.65,4.76,4.88,-0.12,-2.46,2036686.05,967241.97,3.9108,0.78,28.8426,3.1935,8.3093,25383916.2009,520779.4,345454.7,120827441.1163,2478909.944
601988.SH,20070119,4.78,4.85,4.71,4.85,4.76,0.09,1.89,1769176.83,848877.424,3.3972,0.75,29.3879,3.2539,8.4664,25383916.2009,520779.4,345454.7,123111993.5744,2525780.09
